region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
2717010900,27,170,109,00,2717010900,2717010900,대구광역시 서구 원대동3가,9,,2717000000,원대동3가,
2720000000,27,200,000,00,2720000000,2720000000,대구광역시 남구,4,,2700000000,남구,
2717010700,27,170,107,00,2717010700,2717010700,대구광역시 서구 원대동1가,7,,2717000000,원대동1가,
2717010800,27,170,108,00,2717010800,2717010800,대구광역시 서구 원대동2가,8,,2717000000,원대동2가,
3020015200,30,200,152,00,3020015200,3020015200,대전광역시 유성구 둔곡동,52,,3020000000,둔곡동,
2717010400,27,170,104,00,2717010400,2717010400,대구광역시 서구 상리동,4,,2717000000,상리동,
2717010500,27,170,105,00,2717010500,2717010500,대구광역시 서구 중리동,5,,2717000000,중리동,
2717010600,27,170,106,00,2717010600,2717010600,대구광역시 서구 이현동,6,,2717000000,이현동,
2717010200,27,170,102,00,2717010200,2717010200,대구광역시 서구 비산동,2,,2717000000,비산동,
2717010300,27,170,103,00,2717010300,2717010300,대구광역시 서구 평리동,3,,2717000000,평리동,
2717000000,27,170,000,00,2717000000,2717000000,대구광역시 서구,3,,2700000000,서구,
2717010100,27,170,101,00,2717010100,2717010100,대구광역시 서구 내당동,1,,2717000000,내당동,
2714014300,27,140,143,00,2714014300,2714014300,대구광역시 동구 송정동,43,,2714000000,송정동,
2714014400,27,140,144,00,2714014400,2714014400,대구광역시 동구 덕곡동,44,,2714000000,덕곡동,
2714014500,27,140,145,00,2714014500,2714014500,대구광역시 동구 지묘동,45,,2714000000,지묘동,
2600000000,26,000,000,00,2600000000,2600000000,부산광역시,2,,0000000000,부산광역시,
2611000000,26,110,000,00,2611000000,2611000000,부산광역시 중구,1,,2600000000,중구,
2611010100,26,110,101,00,2611010100,2611010100,부산광역시 중구 영주동,1,,2611000000,영주동,
2611010200,26,110,102,00,2611010200,2611010200,부산광역시 중구 대창동1가,2,,2611000000,대창동1가,
2611010300,26,110,103,00,2611010300,2611010300,부산광역시 중구 대창동2가,3,,2611000000,대창동2가,
2611010400,26,110,104,00,2611010400,2611010400,부산광역시 중구 중앙동1가,4,,2611000000,중앙동1가,
2611010500,26,110,105,00,2611010500,2611010500,부산광역시 중구 중앙동2가,5,,2611000000,중앙동2가,
2611010600,26,110,106,00,2611010600,2611010600,부산광역시 중구 중앙동3가,6,,2611000000,중앙동3가,
2611010700,26,110,107,00,2611010700,2611010700,부산광역시 중구 중앙동4가,7,,2611000000,중앙동4가,
2611010800,26,110,108,00,2611010800,2611010800,부산광역시 중구 중앙동5가,8,,2611000000,중앙동5가,
2611010900,26,110,109,00,2611010900,2611010900,부산광역시 중구 중앙동6가,9,,2611000000,중앙동6가,
2611011000,26,110,110,00,2611011000,2611011000,부산광역시 중구 중앙동7가,10,,2611000000,중앙동7가,
2611011100,26,110,111,00,2611011100,2611011100,부산광역시 중구 동광동1가,11,,2611000000,동광동1가,
2611011200,26,110,112,00,2611011200,2611011200,부산광역시 중구 동광동2가,12,,2611000000,동광동2가,
2714014000,27,140,140,00,2714014000,2714014000,대구광역시 동구 내동,40,,2714000000,내동,
2714014100,27,140,141,00,2714014100,2714014100,대구광역시 동구 신용동,41,,2714000000,신용동,
2714014200,27,140,142,00,2714014200,2714014200,대구광역시 동구 중대동,42,,2714000000,중대동,
2611011300,26,110,113,00,2611011300,2611011300,부산광역시 중구 동광동3가,13,,2611000000,동광동3가,
2611011400,26,110,114,00,2611011400,2611011400,부산광역시 중구 동광동4가,14,,2611000000,동광동4가,
2611011500,26,110,115,00,2611011500,2611011500,부산광역시 중구 동광동5가,15,,2611000000,동광동5가,
2611011600,26,110,116,00,2611011600,2611011600,부산광역시 중구 대청동1가,16,,2611000000,대청동1가,
2611011700,26,110,117,00,2611011700,2611011700,부산광역시 중구 대청동2가,17,,2611000000,대청동2가,
2611011800,26,110,118,00,2611011800,2611011800,부산광역시 중구 대청동3가,18,,2611000000,대청동3가,
2611011900,26,110,119,00,2611011900,2611011900,부산광역시 중구 대청동4가,19,,2611000000,대청동4가,
2611012000,26,110,120,00,2611012000,2611012000,부산광역시 중구 보수동1가,20,,2611000000,보수동1가,
2611012100,26,110,121,00,2611012100,2611012100,부산광역시 중구 보수동2가,21,,2611000000,보수동2가,
2611012200,26,110,122,00,2611012200,2611012200,부산광역시 중구 보수동3가,22,,2611000000,보수동3가,
2611012300,26,110,123,00,2611012300,2611012300,부산광역시 중구 부평동1가,23,,2611000000,부평동1가,
2611012400,26,110,124,00,2611012400,2611012400,부산광역시 중구 부평동2가,24,,2611000000,부평동2가,
2611012500,26,110,125,00,2611012500,2611012500,부산광역시 중구 부평동3가,25,,2611000000,부평동3가,
2611012600,26,110,126,00,2611012600,2611012600,부산광역시 중구 부평동4가,26,,2611000000,부평동4가,
2611012700,26,110,127,00,2611012700,2611012700,부산광역시 중구 신창동1가,27,,2611000000,신창동1가,
2611012800,26,110,128,00,2611012800,2611012800,부산광역시 중구 신창동2가,28,,2611000000,신창동2가,
2611012900,26,110,129,00,2611012900,2611012900,부산광역시 중구 신창동3가,29,,2611000000,신창동3가,
2611013000,26,110,130,00,2611013000,2611013000,부산광역시 중구 신창동4가,30,,2611000000,신창동4가,
2611013100,26,110,131,00,2611013100,2611013100,부산광역시 중구 창선동1가,31,,2611000000,창선동1가,
2611013200,26,110,132,00,2611013200,2611013200,부산광역시 중구 창선동2가,32,,2611000000,창선동2가,
2611013300,26,110,133,00,2611013300,2611013300,부산광역시 중구 광복동1가,33,,2611000000,광복동1가,
2611013400,26,110,134,00,2611013400,2611013400,부산광역시 중구 광복동2가,34,,2611000000,광복동2가,
2611013500,26,110,135,00,2611013500,2611013500,부산광역시 중구 광복동3가,35,,2611000000,광복동3가,
2611013600,26,110,136,00,2611013600,2611013600,부산광역시 중구 남포동1가,36,,2611000000,남포동1가,
2611013700,26,110,137,00,2611013700,2611013700,부산광역시 중구 남포동2가,37,,2611000000,남포동2가,
2611013800,26,110,138,00,2611013800,2611013800,부산광역시 중구 남포동3가,38,,2611000000,남포동3가,
2611013900,26,110,139,00,2611013900,2611013900,부산광역시 중구 남포동4가,39,,2611000000,남포동4가,
2611014000,26,110,140,00,2611014000,2611014000,부산광역시 중구 남포동5가,40,,2611000000,남포동5가,
2611014100,26,110,141,00,2611014100,2611014100,부산광역시 중구 남포동6가,41,,2611000000,남포동6가,
2614000000,26,140,000,00,2614000000,2614000000,부산광역시 서구,2,,2600000000,서구,
2614010100,26,140,101,00,2614010100,2614010100,부산광역시 서구 동대신동1가,1,,2614000000,동대신동1가,
2614010200,26,140,102,00,2614010200,2614010200,부산광역시 서구 동대신동2가,2,,2614000000,동대신동2가,
2614010300,26,140,103,00,2614010300,2614010300,부산광역시 서구 동대신동3가,3,,2614000000,동대신동3가,
2614010400,26,140,104,00,2614010400,2614010400,부산광역시 서구 서대신동1가,4,,2614000000,서대신동1가,
2614010500,26,140,105,00,2614010500,2614010500,부산광역시 서구 서대신동2가,5,,2614000000,서대신동2가,
2614010600,26,140,106,00,2614010600,2614010600,부산광역시 서구 서대신동3가,6,,2614000000,서대신동3가,
2614010700,26,140,107,00,2614010700,2614010700,부산광역시 서구 부용동1가,7,,2614000000,부용동1가,
2614010800,26,140,108,00,2614010800,2614010800,부산광역시 서구 부용동2가,8,,2614000000,부용동2가,
2614010900,26,140,109,00,2614010900,2614010900,부산광역시 서구 부민동1가,9,,2614000000,부민동1가,
2614011000,26,140,110,00,2614011000,2614011000,부산광역시 서구 부민동2가,10,,2614000000,부민동2가,
